theta1_x/theta_E,theta1_y/theta_E,theta2_x/theta_E,theta2_y/theta_E
8.849272826393816960e-01,7.849677827187356849e-01,-6.324203550166805909e-01,-5.609834995062982221e-01
4.978455038686903644e-01,1.115186585347972326e+00,-3.337904252364825575e-01,-7.476990384541079004e-01
7.253097392123085685e-01,9.513955112816651072e-01,-5.067745483822647667e-01,-6.647408748244444388e-01
5.343469601840930006e-01,1.098815069487013352e+00,-3.579203973818715356e-01,-7.360167749143460281e-01
8.471360543520637387e-01,8.294346635105867005e-01,-6.026858546822810858e-01,-5.900923901336373456e-01
7.898027006542931439e-01,9.142707297467582706e-01,-5.410796160071943417e-01,-6.263504226665426167e-01
8.318809887826922322e-01,8.362714099907385679e-01,-5.978837338484213060e-01,-6.010391869245579333e-01
5.368163074768642629e-01,1.088217397534611219e+00,-3.645886795795910684e-01,-7.390828827974493809e-01
5.729372705070396865e-01,1.051256241371243405e+00,-3.997059782218720381e-01,-7.334021121496903106e-01
7.924312685867149764e-01,8.685891231458143791e-01,-5.732309678700677757e-01,-6.283222324508812573e-01
8.832027881094169919e-01,7.810510754256252408e-01,-6.353574892829829679e-01,-5.618716980575481079e-01
7.206874554122182364e-01,9.636536412214579128e-01,-4.977058868161165495e-01,-6.654980414684408263e-01
9.837884748417586867e-01,6.725377009489587055e-01,-6.927372075745611424e-01,-4.735691674157243569e-01
3.987100035773500362e-01,1.163383970180701388e+00,-2.636217841778185078e-01,-7.692141033612459600e-01
5.969235045579119880e-01,1.025819564312802745e+00,-4.237637141833011656e-01,-7.282425726844790059e-01
5.557857372303324217e-01,1.071278109237139731e+00,-3.815808752624173517e-01,-7.354978927837551028e-01
7.760659394021992563e-01,9.184316724234461438e-01,-5.367745059872872648e-01,-6.352433243339119517e-01
7.166069444776660413e-01,9.419853703189190464e-01,-5.115471542963588858e-01,-6.724326903176737202e-01
3.556280260765825596e-01,1.156433303414146962e+00,-2.429469681457413766e-01,-7.900163775807976796e-01
7.441230043043471909e-01,9.500139249810996001e-01,-5.109873319250117785e-01,-6.523720917236321970e-01
5.217957449588386254e-01,1.100638761140581900e+00,-3.516910534712447411e-01,-7.418320466130894353e-01
4.338446749462436802e-01,1.128509422286228414e+00,-2.967971777713661607e-01,-7.720237932261092562e-01
